ID	種別	発見物名	ランク	説明	時代	ポイント	難易度	経験値	備考	最終更新日時	関連クエスト
1581	宗教遺物	大秦景教流行中国碑	2	読みは「たいしんけいきょうりゅうこうちゅうごくひ」。キリスト教の教派の一つ、景教の教義と布教状況が記された碑。<br>景教は唐代には広まっていたが、武宗の廃仏政策により、この碑も一緒に排斥されていたようだ。		5	5	330	東西宗教交流	2015-01-27 02:09:17	2816:東西宗教交流
1582	宗教遺物	大聖堂の地下墓所	2	大聖堂の地下に作られたカタコンベ。イタリア半島をはじめ、ヨーロッパの教会ではいくつかのカタコンベが見つかっている。フランスでもボルドーなど数箇所に存在することが確認された。		3	4	280	ダンジョン	2015-01-27 02:09:17	2769:ボルドー教会地下（上層）
1583	宗教遺物	大蔵経の版木	2	大蔵経とは、経典の総集のこと。<br>契丹からの侵略を契機に、国家防衛を祈願するため、高麗で製作が開始された。<br>完成は1200年代半ば。版木は、八万余りあるという。		4	6	380	祈願の経典<br><br>発見時経験値380　発見物カード経験値190	2016-07-29 09:25:34	2730:祈願の経典
1634	宗教遺物	達谷窟	3	読みは「たっこくのいわや」。平安時代の武官・坂上田村麻呂が、戦勝を記念して東北地方に建てた堂。建物の半分が崖に埋まり込んだような、独特の外観を持つ。毘沙門天が祀られている。		6	7	520	崖に埋もれた堂	2015-01-27 02:09:17	2483:崖に埋もれた堂
1580	宗教遺物	地下墓地の棺	3	カタコンベに安置されている棺。カタコンベでは、壁に穴を掘るといった独特な埋葬方法を用いることが多く、棺を利用して埋葬する場合も穴の中に置かれていることが多い。		5	6	440	ダンジョン	2015-01-27 02:09:17	2770:ボルドー教会地下（中層）
1562	宗教遺物	中壇元帥の銅像	2	読みは「ちゅうだんげんすいのどうぞう」。道教で崇められている少年神の像。台北に納められていた。<br>中壇元帥はナタ太子とも呼ばれ、魔力を秘めた布や、火を放つ槍を持って戦う姿で表されている。		5	8	300	道教の少年像の地図	2015-01-27 02:09:17	2619:道教の少年像の地図
1563	宗教遺物	中論	2	ちゅうろん。ナーガールジュナの著。仏教の中道について記したもの。一般的な論書というよりは、詩歌的な部分が多く、文芸作品としても素晴らしい価値がある。		5	8	255	古い法典の地図	2015-01-27 02:09:17	1606:古い法典の地図
1650	宗教遺物	鳥居	2	神社へと続く参道に配置された、門の一種。この鳥居に見られる赤い色は、厄除けの意味を持つとされている。日本では、こうした鳥居によって、聖域と俗界が区分されている。		6	5	330	神社跡の調査依頼	2015-01-27 02:09:17	2484:神社跡の調査依頼
1649	宗教遺物	鳥人の絵	5	ラパ・ヌイでは、マケマケという神の化身である鳥人（タンガタ・マヌ）信仰がある。<br>鳥人は非常に強い霊力を持つとされ、儀式により鳥人の称号を得た者は、その一年間、島の全権を握ることができる。		10	11	1079	ラパ・ヌイの鳥人	2015-01-27 02:09:17	1881:ラパ・ヌイの鳥人
1641	宗教遺物	鎮魂の勾玉	2	読みは「たましずめのまがたま」。日本の陰陽師たちが儀式に使うという特別な勾玉。<br>日本の神道では、鎮魂とは、生者の不安定な魂を体につなぎ留めておくための行為を指すらしい。		7	4	290	大切なお守り	2015-01-27 02:09:17	2343:大切なお守り
3171	宗教遺物	鉄王冠	5	イエスを十字架に打ち付けた釘を、再加工して取り付けた王冠。そのため鉄王冠と呼ばれ聖遺物とされている。		9		1410		2017-05-17 00:24:38	5904:形を変えた聖釘
3280	宗教遺物	天国への階梯	5	7世紀の東ローマの修道士ヨアンネス・クリマコスが著した、修道士向けの教導書。「クリマコス」はギリシャ語ではしごを意味し、書名の「階梯」に由来した添え名。修道者としての心構えを三十段の階梯に見立てて説いている。		10	12	1100		2018-04-21 17:15:30	6128:とある発注
1605	宗教遺物	洞窟のような墓地	2	地下に作られた墓地。カタコンベとも呼ばれローマにある教会のものが最初といわれる。シラクサにもいくつかのカタコンベがあり、大きいものは天然の洞窟を思わせる、入り組んだ構造が特徴的である。		3	3	240	ダンジョン	2015-01-27 02:09:17	2764:シラクサ教会地下迷宮（上層）
3270	宗教遺物	道を知れ	3	11世紀ドイツの修道女であるビンゲンのヒルデガルトの著作で、預言めいた文章と、寓意画のような挿絵が特徴的。内容は教会や信仰に関するものであり、いずれも神の啓示のもとに記されたものと言われている。		9	8	540		2018-04-21 17:12:46	6106:幻視者の謎解き
1633	宗教遺物	道成寺の鐘	3	ある寺院に奉納されている、いわくつきの釣鐘。ある女に追われた僧侶が鐘の中に逃げ込んだものの、ヘビに化けた女に鐘ごと焼き殺されたという伝説がある。よく見たら、なにかが巻きついたような形跡がある…。		6	7	510	置かれた釣鐘<br><br>発見時経験値510　発見物カード経験値255	2016-07-26 21:04:55	2606:置かれた釣鐘
1575	宗教遺物	南海寄帰内法伝	4	読みは「なんかいききないほうでん」。<br>唐僧・義浄が著した、インドの衣食住における戒律を伝える書物。衣の着方や飲食の決まりなどが細かく記されている。		8	8	650	南海を旅した僧<br><br>発見時経験値650　発見物カード経験値325	2016-05-07 14:23:22	2834:南海を旅した僧
1571	宗教遺物	八咫烏の旗	2	読みは「やたがらすのはた」。三本脚のカラスが描かれた旗。<br>日本神話では、このカラスは神の使いとされているらしい。<br>「咫」とは長さの単位であり、日本神話には「八咫」という長さがよく登場するそうだ。		5	5	360	御使いの鳥<br><br>発見時経験値360　発見物カード経験値180	2016-07-27 20:28:11	2356:御使いの鳥
1626	宗教遺物	般若経	2	はんにゃきょう。多くの仏教経典の総称。般若とはサンスクリット語でプラジューナー、「悟りの智慧」を意味する。		4	6	340	［勅命］[[ジャワ思想調査	2015-01-27 02:09:17	1284:解読不能の経典,3579:ジャワ思想調査
1610	宗教遺物	百済の舎利容器	1	仏教が盛んだった百済時代のものと思われる舎利容器。ある寺院に保管されているものは入れ子の設計になっており、青銅の容器の中に銀の容器が、銀の容器の中に金の容器が収められているという。		3	4	130	朝鮮の遺物の地図	2015-01-27 02:09:17	2731:朝鮮の遺物の地図
3304	宗教遺物	貧者の聖書	2	聖書中に出てくる出来事を抜粋して描いた木版印刷。13世紀中頃に東南ドイツ・オーストリアで成立すると、活版印刷の普及に伴ってヨーロッパ中に広がった。当時の教会で主流であった予型論に基づいて制作された。		7	6	210		2018-06-22 00:19:46	6158:聖職者の書きつけ
1561	宗教遺物	不空成就如来	4	ふくうじょうじゅにょらい。仏教における如来のひとり。名前には「空しいことはなにもなく、成し遂げることことこそ大事」という意味がある。		9	9	720	不空成就如来像	2015-01-27 02:09:17	1355:不空成就如来像
1602	宗教遺物	武則天の偽経	3	仏典中の「大雲経」に武則天らが手を加えて創作した偽経。<br>女帝出現を預言する内容を含ませたことで、自ら皇帝の地位を得る足掛かりとした。		6	7	480	ダンジョン	2015-01-27 02:09:17	2825:楽山大仏（中層）
1617	宗教遺物	福徳正神像	5	読みは「ふくとくせいしんのぞう」。五穀豊穣や蓄財祈願の信仰から生まれた自然神の像で、土地公とも呼ばれる。<br>主に人々に財を与える福の神として、台湾島で親しまれている。		8	11	950	土地公<br><br>発見時経験値950　発見物カード経験値475	2016-07-27 23:14:35	2611:土地公
1565	宗教遺物	仏教経典	2	釈迦（しゃか）の教えを記したとされる本。このうちスッタニパータという経典が最も古く、釈迦の言葉に最も近いという。長い間に多くの宗派が出たため膨大な種類がある。		3	5	260	インドの宗教書の地図	2015-01-27 02:09:17	63:インドの宗教書の地図
3065	宗教遺物	仏歯	5	釈迦の歯とされている遺物。数ある仏舎利の中でも重要視されており、特に犬歯には強い力があるとして信仰されているようだ。						2017-03-02 14:04:44	5798:仏舎利の一種
1566	宗教遺物	仏舎利	5	「ぶっしゃり」。仏教の開祖である釈迦（しゃか）の遺灰だと伝えられるもの。仏教における最高の聖遺物である。語源はサンスクリット語で「身体」を意味する「シャリーラ」である。		10	11	1027	仏教における聖遺物	2015-01-27 02:09:17	1960:仏教における聖遺物
1564	宗教遺物	仏像	2	仏教で信仰されるさまざまな仏の姿を表した像である。仏は悟りを開いた釈迦をモデルにするので、衣だけの質素な姿が基本である。また、手足に法輪の模様があるなどの三十二相がある。		2	5	290	仏教の開祖	2015-01-27 02:09:17	954:仏教の開祖
1572	宗教遺物	分別善悪応報経	2	ぶんべつぜんあくおうほうきょう。仏教の経典のひとつ。人間が行う様々な悪の行いのあと、訪れる死後の世界でどのような目に遭うかを書き綴っている。その様子は、ボロブドゥール遺跡に160面のレリーフにして描かれている。		6	6	350	因果応報の物語	2015-01-27 02:09:17	1361:因果応報の物語
2663	宗教遺物	碧霞元君像	2	読みは「へきかげんくんぞう」。七天女の一人、泰山玉女とも呼ばれる女神の像である。神々の中で最も心優しい女神とされ、泰山信仰で人気がある。		4			雲台山西　再調査報酬	2016-06-20 16:15:57	5249:泰山の女神像の地図
1627	宗教遺物	菩薩像	2	「ぼさつぞう」。仏教の菩薩の像。菩薩というのは、もともとは悟りを開く前の釈迦を指すという。その後解釈が変わり、あえて仏とならない存在をいうようになった。		3	5	260	インドの菩薩像の地図	2015-01-27 02:09:17	71:インドの菩薩像の地図
1590	宗教遺物	宝生如来	4	ほうしょうにょらい。仏教における如来のひとり。全てのものに価値があり、その存在は平等であると説く。		7	9	720	宝生如来像	2015-01-27 02:09:17	1514:宝生如来像
1604	宗教遺物	法華経	1	ほっけきょう。仏教経典のひとつ。全てのものは縁起をもって仏たりえるという、仏教独自の因果関係について書かれている。		5	6	160	古い法典の地図	2015-01-27 02:09:17	1742:古い法典の地図
1632	宗教遺物	論語	2	春秋時代の思想家・孔子の言行を、弟子達が記録した書物。全20編で構成される。<br>科挙の出題科目にもなっており、儒教でも重要な書物である。		5	4	240	科挙の勉強	2015-01-27 02:09:17	2838:科挙の勉強
1600	宗教遺物	曼荼羅図	3	読み方は、「まんだらず」。古代インドを起源とする、日本の宗教絵画の一つ。<br>曼荼羅とは、仏教の世界観を表現したものである。この図では、阿弥陀如来を中心とした極楽浄土の様子が描かれている。		7	7	480	仏界の絵図	2015-01-27 02:09:17	2598:仏界の絵図
1589	宗教遺物	媽祖像	3	読みは「まそぞう」。道教の女神像で、航海や漁業の守護神として信仰を集めている。<br>大陸からの移民が台湾島に到着した際も、媽祖に感謝したといい、広く信奉されている。		6	7	500	船乗りたちを見守る像<br><br>発見時経験値500　発見物カード経験値250	2016-07-27 23:15:48	2604:船乗りたちを見守る像
1594	宗教遺物	帛画	2	読みは「はくが」。<br>帛とは絹布のことであり、帛画とはそうした絹布に描かれた、古代中国の絵画を指す。<br>絹という脆い素材であるため、良い保存状態で発見されることは稀である。		6	6	360	古代の絹織物<br><br>発見時経験値350　発見物カード経験値175	2016-07-06 17:38:58	2905:古代の絹織物
1601	宗教遺物	梵字の巻物	3	「ぼんじ」。インドの梵字で書かれた巻物。梵字はもともとサンスクリット語の文字だがやがて宗教的意味が強くなった。		4	10	410	インドの古文書の地図	2015-01-27 02:09:17	62:インドの古文書の地図
533	美術品	ろうそくに火を灯す少年	4	エル・グレコ作。ろうそくに火を灯す少年の静謐な表情と、火の一瞬のゆらめきをとらえた名画である。エル・グレコがイスパニアに渡る前に描かれたもので、彼の特徴である人物を引き伸ばして描く画法は用いられていない。		6	9	720	間延びしていない絵	2015-01-27 02:09:17	1628:間延びしていない絵
3195	美術品	アズレージョ	3	ポルトガルやイスパニアで生産されるタイル細工。細密に描かれた装飾が特徴。その技術はイベリア半島にイスラム国家が進出していた時代にもたらされ、ポルトガル建築に欠かせない要素となるまでに発展を遂げた。						2017-09-03 14:37:31	5946:ムーア人の置き土産
534	美術品	アダムとエヴァ	2	楽園を背景に、男女と動物を描いた彫刻銅版画。デューラーの四大銅版画のうち最も早く制作された。テーマは「原罪」。<br>ウィトルウィウスの人体比例を用いてあり、古代彫刻の理想的形態が提示されている。		3	5	300	描かれた理想	2015-01-27 02:09:17	2044:描かれた理想
3116	美術品	アフリカの仮面	5	アフリカの民族が祭儀に用いる仮面。民族ごとに造形や意味合いが様々に異なる。		9	15	1340		2017-05-27 02:31:29	5850:仮面探索
2655	美術品	アポクシュオメノス	2	古代ギリシャ彫刻に見られる身体を拭う人を模した彫象。手にはなにか道具のようなものを持つ。なぜこのような姿勢を模したのかは不明だが、独特な魅力をかもし出している。		4	5	350		2017-07-26 15:28:07	5232:一風変わった彫刻
535	美術品	アルノルフィニ夫妻の結婚	1	ヤン・ファン・エイク作。銀行家夫妻の結婚証明画と思われる。絵には宗教的な象徴が多く描かれ、幸せな結婚生活を祈念したものであろう。中央の凸面鏡やシャンデリアをはじめ、筆では不可能なほど細かく描き込まれている。		1	3	180	ある夫妻の結婚証明	2015-01-27 02:09:17	37:ある夫妻の結婚証明
536	美術品	アルペの聖体器	1	北フランスのリムザン地方リモージュ出身の細工師・G.アルペが作ったという、祭礼用の器。モンマジュール修道院院長の墓室に納められていたが、あまりに美しいためマルセイユの教会に移されたと伝えられる。		1	1	50	修道院長の副葬品	2015-01-27 02:09:17	637:修道院長の副葬品
3107	美術品	アンデスのレタブロ	5	アンデス地方で作られる箱型の祭壇。現地の風俗や風景が盛り込まれている。色鮮やかで特徴的なデザインは、美術品として見ても一級品である。		9	15	1400		2017-05-23 15:51:08	5837:布教の結果
537	美術品	イコノスタシス	2	イコンで覆われた壁。聖堂内の各所に配置される。<br>配置される位置によって、イコンに描かれる絵柄も異なる。		4	6	380	豪華な壁の地図	2015-01-27 02:09:17	3632:豪華な壁の地図
538	美術品	イコン	1	正教会で信仰に用いられる聖像。宗教上の聖人や重要なシーンを描いたものである。		1	2	26	小さな宗教画の地図	2015-01-27 02:09:17	658:小さな宗教画の地図
3161	美術品	イスラムの彫刻小箱	5	後ウマイヤ朝で作られた象牙細工。精緻な浮き彫りで四面に別々の場面が描かれ、四面を繋ぐように細かな文様が刻み込まれている。高貴な人物のために作られたもののようだ。		9				2017-05-24 23:55:21	5844:イスラムの芸術品
539	美術品	ウィトルウィウス的人体図	2	古代ローマの建築家であるウィトルウィウスが示した人体の比率をダ・ヴィンチが再考察し、図式化したもの。ダ・ヴィンチはこの図によって人物をより写実的に描こうとしたという。		2	6	340	ダ・ヴィンチの人体図	2015-01-27 02:09:17	1804:ダ・ヴィンチの人体図
540	美術品	ウルビーノのビーナス	4	ティツィアーノ作。前面に横たわるヴィーナスの視線はこちらに向けられ見る者を挑発するようである。足元で丸まる子犬は従順と貞節を、手に持つバラは愛を象徴している。貴族の館の洋服ダンスを探る侍女が、女神を世俗的に感じさせる。		5	9	720	美の基準	2015-01-27 02:09:17	1268:美の基準
541	美術品	エレクティオンの少女像	2	パルテノン神殿のそばに建つ、エレクティオン神殿のカリアティド（女像柱）。6体あり優雅な雰囲気を漂わせている。		2	4	210	少女像の柱の地図	2015-01-27 02:09:17	663:少女像の柱の地図
542	美術品	オーロラ姫のティアラ	3	眠れる森の王女の伝説で有名な、オーロラ姫のティアラ。婚礼に用いたとされる。子孫を通じてイングランドに渡るも、戦乱で紛失。このたび、イングランドの教会に寄贈されたものが発見された。美しい細工で芸術的価値が高い。		4	7	506	オーロラ姫のティアラ	2015-01-27 02:09:17	95:オーロラ姫のティアラ
543	美術品	カピトリーノの雌狼	5	ローマ建国神話に登場するロムルス・レムス兄弟が狼の乳を飲む姿をかたどった青銅像。双子の像はアントニオ・デル・ポッライウォーロが最近付け加えたものだが、狼の像はエトルリア時代のものである。		10	13	1157	血塗られた建国者	2015-01-27 02:09:17	1274:血塗られた建国者
544	美術品	ガッタメラータ将軍騎馬像	1	ガッタメラータとは12世紀後半から13世紀前半にかけて活躍した傭兵隊長である。ヴィスコンティ家との戦いでヴェネツィアを勝利に導くなど数々の軍功を上げた。この青銅像はその功績を讃え、ドナテッロによって作成されたものである。		1	4	140	英雄の像の地図	2015-01-27 02:09:17	1763:英雄の像の地図
546	美術品	キリストの洗礼	1	ダ・ヴィンチの師であるアンドレア・デル・ヴェロッキオの手による絵画。だが、この絵で背景と一番左下の天使はダ・ヴィンチが描いたとされる。師ヴェロッキオは、その天使のあまりの美しさに驚愕し、以後絵画は描かなくなったという。		1	2	100	師弟の絵	2015-01-27 02:09:17	1808:師弟の絵
545	美術品	キリストの復活	2	ジェルマン・ピロン作の大理石像。処刑後、復活したキリストの姿を表したもの。本来は数体の彫像からなる作品のはずだが、未完成のままだという。		2	5	290	復活したイエスの彫刻	2015-01-27 02:09:17	952:復活したイエスの彫刻
549	美術品	キリスト降架	4	ルーベンス作の祭壇画の一枚。処刑されたイエスを、母マリアたちが十字架から降ろす光景である。誇張された肉体とポーズ、劇的な光の使い方など、それまでの絵画とは一線を画している。		5	9	780	王の画家にして画家の王	2015-01-27 02:09:17	1076:王の画家にして画家の王
547	美術品	キリスト昇架	4	「しょうか」。ルーベンス作の祭壇画。イエスが打ち付けられた十字架が、立てられようとしている場面だ。波を打つような筋肉、浮き上がるイエスの白い肉体など、これまでの宗教画と異なる表現がされている。		4	9	780	社交的な画家	2015-01-27 02:09:17	633:社交的な画家
548	美術品	キリスト磔刑	1	「たっけい」。エル・グレコ作の絵画。イエスが十字架に架けられた情景で、左右対称の構図の中でイエスが白い体をよじって天を仰いでいる。彼の宗教画は光輪を描かないなど定石を無視したところがあるため、初期には認められなかった。		1	3	185	風変わりな宗教画	2015-01-27 02:09:17	951:風変わりな宗教画
3099	美術品	クラダリング	5	アイルランドのクラダ村出身の若者が作った指輪。ハート、両手、王冠がデザインとして使われている。		9	15	1410		2017-04-10 23:21:33	5839:流行りの指輪
550	美術品	ゴリアテの首を持つダヴィデ	2	グイド・レーニ作。羊飼いのダヴィデが、巨人ゴリアテを投石器で倒し、その首をとるという聖書の一節を表現している。古典的な構図でありながら、レーニの独特の斬新な表現を垣間見ることができる。		3	6	340	闘士の首を持つ男	2015-01-27 02:09:17	1272:闘士の首を持つ男
551	美術品	ゴルゴタの丘	1	アンドレア・マンテーニャ作の祭壇画。ゴルゴタの丘ではりつけにされるキリストを描いたもので、ほぼ完成された遠近法を用いている。衣服や武具、馬具など、緻密な考証がされている点も評価できる。		1	2	95	画期的な絵画技法	2015-01-27 02:09:17	373:画期的な絵画技法
2781	美術品	サイクロプス像の頭部	1	ギリシャ神話に登場する単眼の巨人、サイクロプスの石像の頭部。ミュケナイ文明の遺跡には大きな石材を用いたものが多く、サイクロプスが積んだという伝説もある。		3	6			2015-12-06 01:24:00	5390:大理石の像の地図
3109	美術品	ササン朝の水晶の壺	5	12世紀のフランス王ルイ7世が、王妃アリエノールより贈られたとされる壺。ササン朝時代に作られたと思われる水晶の壺に、フランスで金細工を施した金具が加えられ、現在の形になった。		9	15	1330		2017-05-22 21:37:55	5848:異なる時代の合作
552	美術品	サモトラケのニケ	5	サモトラケ島で出土した大理石片を組み上げて作った、美しいニケ像。腕と頭部が失われているが、かえって翼の美しさが引き立っている。		10	14	1215	風をはらむトルソ	2015-01-27 02:09:17	1451:風をはらむトルソ
553	美術品	サリエラ	5	豪華な彫刻が施された金細工の塩入れ。ルネッサンス期を代表する彫刻家ベンベヌート・チェリーニの作。その豪華さと精緻を極めた彫刻によって、「彫刻のモナリザ」と呼ばれている。		9	13	1170	盗まれた金細工の彫刻	2015-01-27 02:09:17	1809:盗まれた金細工の彫刻
3111	美術品	ザクロの陶器	5	ザクロの絵付けが施された磁器。ヨーロッパの人々の多くはザクロを知らなかったため、この絵付けほブルーオニオンと呼んだ。		9	15	1380		2017-05-21 20:26:25	5853:タマネギの絵付け
554	美術品	スキピオ伝のタペストリー	1	ジュリオ・ロマーノの原画をもとに織られた連作タペストリーの一枚である。内容は、古代ローマ時代のカルタゴ戦争を舞台に、スキピオの事績を追うものである。		1	2	70	タペストリーの地図	2015-01-27 02:09:17	205:タペストリーの地図
555	美術品	タラのブローチ	4	8世紀にアイルランドで作られたブローチ。金の準環状ブローチで宝石と共にケルト文様が彫り込まれている。僧衣などのマントを留めるために使われた。アイルランド金細工の至宝といわれている。		4	8	612	職人好みの装飾品	2015-01-27 02:09:17	1617:職人好みの装飾品
556	美術品	ダヴィデ	4	ミケランジェロ作の大理石像。高さ4mを超える巨大なものである。これはゴリアテを打ち倒す直前の、緊張したダヴィデである。関節や筋肉、血管などすべてがリアルで、いまにも動き出しそうだ。		3	8	684	古代の英雄の巨像	2015-01-27 02:09:17	508:古代の英雄の巨像
2602	美術品	テセウスとミノタウロスの像	4	ギリシャ神話に登場する英雄テセウスがミノタウロスと戦う様を表した像。テセウスはアテネの危機を救うためクレタ島のクノッソス宮殿にある迷宮ラビュリントスに向かい、ミノタウロスを討伐したという。		7		740		2016-11-14 22:05:21	4974:牛のお化けのお話
557	美術品	デルフトの小道	2	フェルメール作の風景画。生涯のほとんどを過ごした故郷デルフトを描いたといわれる。レンガの継ぎ目や扉に付けられたかんぬきなど、細部にわたって写実的に描き込まれている。まるで目に映った情景を切り取ったかのようだ。		3	5	280	生き続ける風景	2015-01-27 02:09:17	1494:生き続ける風景
558	美術品	トレドの風景	2	エル・グレコ作の風景画。風景画は絵画としての価値をあまり認められないものだが、この絵が素晴らしいことは誰の目にも明らかだろう。彼は誰の依頼によるものでもなく、自分の意思によってこの絵を制作した。暗く明るい、不思議な絵だ。		2	7	240	風景画の地図	2015-01-27 02:09:17	1706:風景画の地図
3219	美術品	ナンタケット・バスケット	1	北米にあるナンタケッタ島の漁民たちに伝わる籠細工。鯨油の樽を作る技術を応用した製法で作られている。左右対称の形状と、木材を編んでいるとは思えないほどの緻密な網目が特徴的。最初期は蓋のないバスケットが主だったという。				160	北米の籠の地図<br><br>発見時経験値160　発見物カード経験値80	2017-12-03 19:40:56	6033:北米の籠の地図
559	美術品	ニコラス・クラッツァーの肖像	2	息子のほうのハンス・ホルバイン作の絵画。極めて写実的な画法が彼の特徴である。モデルのニコラスはイングランドの宮廷に仕えた天文学者で、そのためこの肖像画にも天文学で用いる道具が描かれている。		2	4	230	イングランドの絵画	2015-01-27 02:09:17	54:イングランドの絵画
561	美術品	ネーデルラントの諺	1	ピーテル・ブリューゲル（父）の作。ネーデルラントに伝わる諺を90種以上描きこんでいる。例えば右下の粥をこぼしている男性がいる。これは「こぼした粥は器に戻らない」つまりは取り返しのつかないことを意味する諺である。		1	2	110	文字のない格言集	2015-01-27 02:09:17	1799:文字のない格言集
560	美術品	ネッソスにさらわれるディアネイラ	1	グイド・レーニ作の、ヘラクレスを題材とした連作の一枚。ヘラクレスの妻・ディアネイラが、ネッソスというケンタウロスにさらわれるシーンである。素晴らしい躍動感にあふれた作品だ。		1	2	110	ギリシャ神話が題材の絵	2015-01-27 02:09:17	125:ギリシャ神話が題材の絵
3254	美術品	ネフェルティティの胸像	3	古代エジプトのファラオであったアメンホテプ4世の妃、ネフェルティティをモデルにしたとされる彫刻像。発掘された職人の工房跡では同型の彫像がいくつも出土しており、弟子たちの教育や練習を目的として作られたという説がある。		7	7	480		2018-01-24 16:57:44	6077:疑惑つき
562	美術品	バイユーのタペストリー	3	フランス北部の街バイユーに伝わるタペストリー。70mに及ぶ布にノルマンディー公ウィリアムによるイングランド征服の様子が刺繍されている。彗星と思われる星を見て不安がるイングランドの人々も描かれている。		3	4	490	彗星の記録	2015-01-27 02:09:17	3773:彗星の記録
563	美術品	バベルの塔	1	ピーテル・ブリューゲル（父）作の絵画。建築中のバベルの塔を描いている。特に大型ではないのに、建築に携わる人や工具が非常に緻密に描かれている。本来はバビロンにあった塔だが、欧州の街をモデルに描いている。		1	3	170	バベルの塔の絵画	2015-01-27 02:09:17	241:バベルの塔の絵画
564	美術品	バベルの塔（小）	1	ピーテル・ブリューゲル（父）作の、もう一枚のバベルの塔の絵。大きな絵と違い、建築の様子は描かれていない。なぜか全体が強い赤で描かれており、神の怒りで砕かれる前触れを思わせる。		2	3	170	もう一枚のバベルの塔	2015-01-27 02:09:17	303:もう一枚のバベルの塔
565	美術品	ヒワの聖母	2	ラファエロ作の絵画。同じ題材の絵が複数あるため、この絵は通称でこう呼ばれる。由来は、左の聖ヨハネが小鳥のヒワをつれているからである。		2	4	240	ラファエロの名画	2015-01-27 02:09:17	320:ラファエロの名画
566	美術品	ピエタ	3	ミケランジェロ作の大理石像。処刑されたイエスを抱く聖母マリアの像である。人間の肉体、衣服のひだなど、冷たい石だとは思えない出来だ。イエスに比べてマリアが若いが、これも表現方法の一つである。		2	6	451	天才の青年時代	2015-01-27 02:09:17	861:天才の青年時代
3108	美術品	ピクウェのアクセサリー	5	ピクウェと呼ばれる技法で作成されたアクセサリー。母材として柔らかい素材が使われているのが特徴である。		9	15	1360		2017-05-23 14:26:14	5849:珍しい工芸技法
567	美術品	プリマヴェーラ	4	ボッティチェリ作の絵画。中央にヴィーナスとキューピッド、右にはゼフュロスに息を吹きかけられた女神フローラが、左には美・貞節・愛の三女神とメルクリウスが描かれている。		4	9	708	ボッティチェリの傑作	2015-01-27 02:09:17	282:ボッティチェリの傑作
3106	美術品	ベレスタ	1	ロシアで作られる小物入れ。白樺の皮を利用して作られている。繊細な装飾は芸術品としても評価が高い。						2017-04-07 18:42:19	5892:綺麗な籠の地図
568	美術品	ポセイドンのブロンズ像	4	昔アテネにあったという、ポセイドンの青銅像。槍投げの瞬間を詳細に模した、精巧なもの。支えにした左足の親指は少し上がり、後ろに下げた右足は踵が上がっている。今にも動き出しそうな像である。		6	9	636	生きているような作り物	2015-01-27 02:09:17	721:生きているような作り物
569	美術品	マギの礼拝	2	レオナルド・ダ・ヴィンチ作の絵画だが、未完成である。彼が最初に手がけた大作だとされるが、製作中にほかの土地へ転居したため未完成となった。絵の題材は、誕生したイエスを三人の賢人が礼拝に訪れた情景である。		2	4	220	ダ・ヴィンチ最初の大作	2015-01-27 02:09:17	195:ダ・ヴィンチ最初の大作
570	美術品	マクシミリアンの狩猟	1	原画はベルナールト・ファン・オルレイ。神聖ローマ帝国皇帝であるマクシミリアン1世の狩猟風景のタペストリー。12枚の連作物の七枚目で、9月と呼ばれる。縦4.5m、幅5.5mの巨大なものである。		1	1	65	十二枚の連作タペストリー	2015-01-27 02:09:17	640:十二枚の連作タペストリー
571	美術品	マグダラのマリア	2	ドナテッロ作の木像。マグダラのマリアは、回心してイエスに従った女性で、イエスの死後は何も身につけず山にこもったとされる。この像は年老いた彼女の姿で、通常は若く美しく表される宗教像と一線を画している。		2	5	280	老いた聖女	2015-01-27 02:09:17	1057:老いた聖女
572	美術品	ミロのヴィーナス	5	メロス島で出土した大理石の女性像。他の像と組み合わされていたと思われる。豊かな肢体の柔らかな曲線と着衣のひだが美しい。		10	14	1222	メロス島を惑わす女神	2015-01-27 02:09:17	1692:メロス島を惑わす女神
573	美術品	メランコリア	3	アルブレヒト・デューラーの代表作ともいえる銅版画。この版画の中には球や多面体から砂時計や秤などの日用品に至る様々なものが描きこまれている。これらがなにを表しているのか、デューラー本人しか知りえない。		3	7	480	デューラーの憂鬱	2015-01-27 02:09:17	1802:デューラーの憂鬱
575	美術品	モーゼ	1	ミケランジェロ作の大理石像。ユリウス2世の墓のために作られた像の一つである。十戒の石板を抱え、緊張した表情で遠方を見つめている。		1	4	120	男性像の地図	2015-01-27 02:09:17	831:男性像の地図
574	美術品	モナリザ	5	レオナルド・ダ・ヴィンチ作の絵画。不思議な微笑、衣服の上品な質感、空気遠近法による背景、なにより、まるで血が通っているかのような肌。まさに理想の肖像画といえる。		7	13	1183	ダ・ヴィンチ＝コード	2015-01-27 02:09:17	192:ダ・ヴィンチ＝コード
576	美術品	ユディト	3	ジョルジョーネ作の絵画。旧約聖書「ユディト記」を題材とした。ユディトの右手には剣足元には敵将ホロフェルネスの首。ユディトの表情や、色彩、タッチからは、臨場感は微塵も感じられないが、神聖さや静寂な空気が醸し出されている。		3	8	539	ジョルジョーネのユディト	2015-01-27 02:09:17	1623:ジョルジョーネのユディト
578	美術品	ラオコーン（腕曲げ）	5	ローマで出土したラオコーン像の完全な姿。体をよじり苦痛に耐える表情から、天罰の恐ろしさがまざまざと伝わってくる。		9	13	1183	蘇るトロイ戦争	2015-01-27 02:09:17	1262:蘇るトロイ戦争
